Concept_Label_Text,Recommended_Definition_text,Source_Definition,Source_Definition_ID,Date approval of experts recommendations by the PGO steering committee[YYYY-MM-DD],Attribution text,URL recommended definition,Examples of sources (these are _not yet_ recommended sources)
Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.",Ontology for Biomedical Investigations (OBI),[0000070](https://ontology.iedb.org/ontology/OBI:0000070),2025-06-12,Source attribution: Ontology for Biomedical Investigations (OBI)<br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/- <br> Definition accessed on the date: 2025-06-02,https://ontology.iedb.org/ontology/OBI:0000070,- [BioAssay Ontology (BAO)](http://bioassayontology.org/) <br> - [Chemical Methods Ontology (CHMO)](https://github.com/rsc-ontologies/rsc-cmo) <br>- [Ontology for Biomedical Investigations (OBI)](https://obi-ontology.org/) <br>- [Experimental Factor Ontology (EFO)](https://www.ebi.ac.uk/efo/)<br> - [Proteomics Identification Database Ontology (PRIDE)](https://www.ebi.ac.uk/ols4/ontologies/pride)
Biomarker,"A characteristic that can be objectively measured and serves as an indicator for normal biologic processes, pathogenic processes, state of health or disease, the risk for disease development and/or prognosis, or responsiveness to a particular therapeutic intervention.",NCI-Thesaurus (NCIT),[C16342](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16342),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16342,- [markerdb](https://markerdb.ca) <BR> - see also [markerdb/registry](https://bioregistry.io/registry/markerdb)
Biospecimen,"Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products.",NCI-Thesaurus (NCIT),[C70699](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70699),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br>licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70699,- [EBI-Biosamples](https://www.ebi.ac.uk/biosamples) <BR>- [registry.identifiers.org](https://registry.identifiers.org/registry/biosample)
Cell,"The smallest units of living structure capable of independent existence, composed of a membrane-enclosed mass of protoplasm and containing a nucleus or nucleoid.",NCI-Thesaurus (NCIT),[C12508](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C12508),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C12508,- [Cell Ontology (CL)](https://cell-ontology.github.io/) <br>- [The BRENDA Tissue Ontology (BTO)](https://brenda-enzymes.org/ontology.php?ontology_id=3) <br>
Clinical_study,"Research conducted with human subjects or on material of human origin in which an investigator directly interacts with human subjects; includes development of new technologies, study of mechanisms of human diseases, therapy, clinical trials, epidemiologic, behavior, and health services research.",NCI-Thesaurus (NCIT),[C15206](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C15206),2025-03-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C15206,- [FDA clinical trials . gov ](https://clinicaltrials.gov/) <br> - [EU clinical tials](https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en)
Clinical_study_site,"A healthcare organization, an institution, a facility, a healthcare provider, or a part or a constituent of any of the above entities directly involved in conducting a particular clinical study.",NCI-Thesaurus (NCIT),[C70777](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70777),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70777,- [ClinicalTrials.gov](ClinicalTrials.gov) <br> - [Clinical Trial register EU](https://www.clinicaltrialsregister.eu) <br> [WHO clnical trials ](https://trialsearch.who.int)
Compound,A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.,NCI-Thesaurus (NCIT),[C43366](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C43366),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C43366,- [ChEMBL](https://www.ebi.ac.uk/chembl/) <br> - [ChEBI](https://www.ebi.ac.uk/chebi/aboutChebiForward.do) <br> - [PubChem](https://pubchem.ncbi.nlm.nih.gov/docs/rdf)
Device,"An object contrived for a specific purpose. OR: An object that has a specific use. In medicine, wheelchairs, pumps, and artificial limbs are examples of devices.",NCI-Thesaurus (NCIT),[C62103](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C62103),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C62103,- [BAO BioAssay Ontology](http://bioassayontology.org/) <BR> - [EFO Experimental factor ontology](https://www.ebi.ac.uk/efo/) <BR> - [CHMO Chemical Methods Ontology](https://github.com/rsc-ontologies/rsc-cmo) <BR> - [AFO Allotrope Foundation Ontologies](https://www.allotrope.org/ontologies)
Disease,"A definite pathologic process with a characteristic set of signs and symptoms. It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown",National Library of Medicine (NLM) - MESH,[D004194](https://meshb.nlm.nih.gov/record/ui?ui=D004194),2025-06-12,Source attribution: National Library of Medicine (NLM) - MESH <br> licence: Free access with clear attribution to NLM. <br> URL licence: https://www.nlm.nih.gov/databases/download/terms_and_conditions_mesh.html- <br>Definition accessed on the date: 2025-05-30,https://meshb.nlm.nih.gov/record/ui?ui=D004194,- [MONDO](https://mondo.monarchinitiative.org/) <br> - [DOID](https://disease-ontology.org/do/) <br> - [EFO](https://www.ebi.ac.uk/efo/) <br> -[HPO](https://hpo.jax.org/) <br> - [SNOMED](https://www.snomed.org/) <br> - [MedDRA](https://www.meddra.org/)
Drug,"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances.",Chemical Entities of Biological Interest (ChEBI),[23888](https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23888),2025-06-12,Source attribution: Chemical Entities of Biological Interest (ChEBI) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-06-09,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23888,- [Drug ontology DRON](https://bioportal.bioontology.org/ontologies/DRON) <br> - [CHEBI](https://www.ebi.ac.uk/chebi/)
Gene,A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.,NCI-Thesaurus (NCIT),[C16612](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16612),2025-03-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16612,[ensembl](https://www.ensembl.org/)
Indication,"NCIT_C41184 A sign, signal, circumstance, or symptom which serves to indicate or point out the cause, pathology, treatment, or issue of an attack of disease; the basis for initiation of a treatment for a disease or of a diagnostic test (causal, or symptomatic, or disease-specific indication)** Alternative definition: CIDISC A health problem or disease that is identified as likely to be benefited by a therapy being studied in clinical trials. NOTE: Where such a benefit has been established and approved by regulatory authorities, the therapy is said to be approved for such an indication.",NCI-Thesaurus (NCIT),[C41184](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C41184),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C41184,- [SNOMED](https://www.snomed.org/)<BR>- [MONDO](https://obofoundry.org/ontology/mondo) <BR>-[DOID](https://disease-ontology.org/) <BR>- [HPO](https://hpo.jax.org/) <BR>- Recommended regulatory mandatory resource: [MedDRA](https://www.meddra.org/)
Pharmaceutical_product,"Qualitative and quantitative composition of a medicinal product in the dose form authorized by the regulatory authority for administration to patients, and as represented with any corresponding regulated product information. NOTE: A medicinal product may contain one or more pharmaceutical products. In many instances, the pharmaceutical product is the manufactured item. However, there are instances where the manufactured item undergoes further preparation before being administered to the patient (as the pharmaceutical product).",NCI-Thesaurus (NCIT),[C42639](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C42639),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C42639,[CDER](https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm) <br> - [SPOR-EMA](https://spor.ema.europa.eu/rmswi/#/)
Protein,A linear polymer of amino acids joined by peptide bonds in a specific sequence.,Molecular Interactions (MI),[0326](https://www.ebi.ac.uk/ols4/ontologies/mi/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMI_0326),2025-03-12,Source attribution: Molecular Interactions (MI) - licence: CC BY 4.0 - URL licence: https://github.com/HUPO-PSI/psi-mi-CV/blob/master/LICENSE- Definition accessed on the date: 2025-06-09,https://www.ebi.ac.uk/ols4/ontologies/mi/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMI_0326,[UniProt.org](https://www.uniprot.org)
Species,An element of a taxonomy for classifying life forms.,UniProt,[Taxon](https://purl.uniprot.org/html/index-en.html#Taxon),2025-06-12,Source attribution: UniProt <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/- <br> Definition accessed on the date: 2025-06-09,https://purl.uniprot.org/html/index-en.html#Taxon,[NIH-Taxonomy](https://www.ncbi.nlm.nih.gov/taxonomy)
Substance,"Any matter of defined composition that has discrete existence, whose origin may be biological, mineral or chemical.",NCI-Thesaurus (NCIT),[C45306](https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C45306),2025-06-12,Source attribution: NCI-Thesaurus (NCIT) <br> licence: CC BY 4.0 <br> URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br>Definition accessed on the date: 2025-05-30,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C45306,- [GSRS](https://gsrs.ncats.nih.gov/ginas/app/ui/home) <BR> - [CHEBI](https://www.ebi.ac.uk/chebi/aboutChebiForward.do) <BR> - [PubChem](https://pubchem.ncbi.nlm.nih.gov/)
Unit,"A unit of measure, or unit, is a particular quantity value that has been chosen as a scale for measuring other quantities the same kind (more generally of equivalent dimension). For example, the meter is a quantity of length that has been rigorously defined and standardized by the BIPM (International Board of Weights and Measures). Any measurement of the length can be expressed as a number multiplied by the unit meter. More formally, the value of a physical quantity Q with respect to a unit (U) is expressed as the scalar multiple of a real number (n) and U, as Q=nU.",QUDT,[unit](https://qudt.org/vocab/unit/),2025-03-12,Source attribution: QUDT <br> licence: CC BY 4.0 <br>URL licence: https://creativecommons.org/licenses/by/4.0/deed.en- <br> Definition accessed on the date: 2025-09-09,https://qudt.org/vocab/unit/,- [QUDT-URI for Unit (root class)](https://qudt.org/schema/qudt/Unit) <BR>- [QUDT-URI for value-set values](https://www.qudt.org/doc/DOC_VOCAB-UNITS.html)
