Concept Label Text,Recommended Definition text,Source Definition,Source Definition Identifier,Date approval of experts recommendations by the PGO steering committee,Attribution text,URL recommended definition,Examples of sources (these are  not yet  recommended sources)
Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.",Ontology for Biomedical Investigations (OBI),0000070,2025-06-12,"Source attribution: Ontology for Biomedical Investigations (OBI);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-06-02",https://ontology.iedb.org/ontology/OBI:0000070,http://bioassayontology.org/;https://github.com/rsc-ontologies/rsc-cmo;https://obi-ontology.org/;https://www.ebi.ac.uk/efo/;https://www.ebi.ac.uk/ols4/ontologies/pride
Biomarker,"A characteristic that can be objectively measured and serves as an indicator for normal biologic processes, pathogenic processes, state of health or disease, the risk for disease development and/or prognosis, or responsiveness to a particular therapeutic intervention.",NCI-Thesaurus (NCIT),C16342,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16342,https://markerdb.ca;https://bioregistry.io/registry/markerdb
Biospecimen,"Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products.",NCI-Thesaurus (NCIT),C70699,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70699,https://www.ebi.ac.uk/biosamples;https://registry.identifiers.org/registry/biosample
Cell,"The smallest units of living structure capable of independent existence, composed of a membrane-enclosed mass of protoplasm and containing a nucleus or nucleoid.",NCI-Thesaurus (NCIT),C12508,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C12508,https://cell-ontology.github.io/;https://brenda-enzymes.org/ontology.php?ontology_id=3
Clinical_study,"Research conducted with human subjects or on material of human origin in which an investigator directly interacts with human subjects; includes development of new technologies, study of mechanisms of human diseases, therapy, clinical trials, epidemiologic, behavior, and health services research.",NCI-Thesaurus (NCIT),C15206,2025-03-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C15206,https://clinicaltrials.gov/;https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en
Clinical_study_site,"A healthcare organization, an institution, a facility, a healthcare provider, or a part or a constituent of any of the above entities directly involved in conducting a particular clinical study.",NCI-Thesaurus (NCIT),C70777,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C70777,https://www.clinicaltrialsregister.eu;https://trialsearch.who.int
Compound,"A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.",NCI-Thesaurus (NCIT),C43366,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C43366,https://www.ebi.ac.uk/chembl/;https://www.ebi.ac.uk/chebi/aboutChebiForward.do;https://pubchem.ncbi.nlm.nih.gov/docs/rdf
Device,"An object contrived for a specific purpose. OR: An object that has a specific use. In medicine, wheelchairs, pumps, and artificial limbs are examples of devices.",NCI-Thesaurus (NCIT),C62103,2025-06-12,"Source attribution: NCI-Thesaurus (NCIT);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-05-30",https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C62103,http://bioassayontology.org/;https://www.ebi.ac.uk/efo/;https://github.com/rsc-ontologies/rsc-cmo;https://www.allotrope.org/ontologies
Disease,"A definite pathologic process with a characteristic set of signs and symptoms. It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown",National Library of Medicine (NLM) - MESH,D004194,2025-06-12,"Source attribution: National Library of Medicine (NLM);MESH;Licence: Free access with clear attribution to NLM.;URL Licence: https://www.nlm.nih.gov/databases/download/terms_and_conditions_mesh.html;Definition accessed on the date: 2025-05-30",https://meshb.nlm.nih.gov/record/ui?ui=D004194,https://mondo.monarchinitiative.org/;https://disease-ontology.org/do/;https://www.ebi.ac.uk/efo/;https://hpo.jax.org/;https://www.snomed.org/;https://www.meddra.org/
Drug,"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances.",Chemical Entities of Biological Interest (ChEBI),23888,2025-06-12,"Source attribution: Chemical Entities of Biological Interest (ChEBI);Licence: CC BY 4.0;URL Licence: https://creativecommons.org/licenses/by/4.0/deed.en;Definition accessed on the date: 2025-06-09",https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23888,https://bioportal.bioontology.org/ontologies/DRON;https://www.ebi.ac.uk/chebi/
